"REALM","DateName","tempC","Year"
"Arctic","1950.01.16",-1.01493933188368,1950
"Central Indo-Pacific","1950.01.16",27.1675674424566,1950
"Eastern Indo-Pacific","1950.01.16",26.7534062872782,1950
"Southern Ocean","1950.01.16",1.2985638358252,1950
"Temperate Australasia","1950.01.16",18.8274865403135,1950
"Temperate Northern Atlantic","1950.01.16",11.7583676299186,1950
"Temperate Northern Pacific","1950.01.16",6.68058067238098,1950
"Temperate South America","1950.01.16",15.9005367374553,1950
"Temperate Southern Africa","1950.01.16",20.3375991056413,1950
"Tropical Atlantic","1950.01.16",25.9105714794887,1950
"Tropical Eastern Pacific","1950.01.16",25.3957109351433,1950
"Western Indo-Pacific","1950.01.16",26.6094801676126,1950
"Arctic","1950.02.15",-1.11787782741419,1950
"Central Indo-Pacific","1950.02.15",27.305090210233,1950
"Eastern Indo-Pacific","1950.02.15",26.6848563115346,1950
"Southern Ocean","1950.02.15",1.52383770098031,1950
"Temperate Australasia","1950.02.15",19.1440902612148,1950
"Temperate Northern Atlantic","1950.02.15",11.1077701393198,1950
"Temperate Northern Pacific","1950.02.15",6.08982611607573,1950
"Temperate South America","1950.02.15",16.5639168854715,1950
"Temperate Southern Africa","1950.02.15",20.7646316973691,1950
"Tropical Atlantic","1950.02.15",25.8060884105349,1950
"Tropical Eastern Pacific","1950.02.15",25.696378727858,1950
"Western Indo-Pacific","1950.02.15",26.5997178083585,1950
"Arctic","1950.03.16",-1.13792954641336,1950
"Central Indo-Pacific","1950.03.16",27.4894631044212,1950
"Eastern Indo-Pacific","1950.03.16",26.7924020158332,1950
"Southern Ocean","1950.03.16",1.29751582811698,1950
"Temperate Australasia","1950.03.16",18.9948063255375,1950
"Temperate Northern Atlantic","1950.03.16",10.8908868973827,1950
"Temperate Northern Pacific","1950.03.16",6.46100269781445,1950
"Temperate South America","1950.03.16",16.1751060810805,1950
"Temperate Southern Africa","1950.03.16",20.6153821606321,1950
"Tropical Atlantic","1950.03.16",26.0256911543195,1950
"Tropical Eastern Pacific","1950.03.16",26.1699329096609,1950
"Western Indo-Pacific","1950.03.16",27.4417320151388,1950
"Arctic","1950.04.16",-1.14411874588862,1950
"Central Indo-Pacific","1950.04.16",27.7377251102627,1950
"Eastern Indo-Pacific","1950.04.16",26.9890298386427,1950
"Southern Ocean","1950.04.16",0.576181350116979,1950
"Temperate Australasia","1950.04.16",18.0804629627456,1950
"Temperate Northern Atlantic","1950.04.16",11.6507830389682,1950
"Temperate Northern Pacific","1950.04.16",7.2222451824558,1950
"Temperate South America","1950.04.16",15.076125623122,1950
"Temperate Southern Africa","1950.04.16",19.4876647019749,1950
"Tropical Atlantic","1950.04.16",26.2038671545998,1950
"Tropical Eastern Pacific","1950.04.16",26.2695112677769,1950
"Western Indo-Pacific","1950.04.16",27.8796818521288,1950
"Arctic","1950.05.16",-0.990646163701032,1950
"Central Indo-Pacific","1950.05.16",27.7337311577758,1950
"Eastern Indo-Pacific","1950.05.16",26.7909162707706,1950
"Southern Ocean","1950.05.16",0.22570225691461,1950
"Temperate Australasia","1950.05.16",17.23354419317,1950
"Temperate Northern Atlantic","1950.05.16",13.7365312735805,1950
"Temperate Northern Pacific","1950.05.16",8.6573732679261,1950
"Temperate South America","1950.05.16",13.8049638417235,1950
"Temperate Southern Africa","1950.05.16",18.6072344465304,1950
"Tropical Atlantic","1950.05.16",26.4595041753405,1950
"Tropical Eastern Pacific","1950.05.16",26.4235917086377,1950
"Western Indo-Pacific","1950.05.16",27.8117218841741,1950
"Arctic","1950.06.16",-0.469588499715797,1950
"Central Indo-Pacific","1950.06.16",27.5771667675222,1950
"Eastern Indo-Pacific","1950.06.16",26.6980950047529,1950
"Southern Ocean","1950.06.16",-0.0563349687928607,1950
"Temperate Australasia","1950.06.16",16.1067503546038,1950
"Temperate Northern Atlantic","1950.06.16",16.7351060682519,1950
"Temperate Northern Pacific","1950.06.16",11.1960286990372,1950
"Temperate South America","1950.06.16",12.967691292849,1950
"Temperate Southern Africa","1950.06.16",17.4381643527655,1950
"Tropical Atlantic","1950.06.16",26.6251101447541,1950
"Tropical Eastern Pacific","1950.06.16",25.9279741666704,1950
"Western Indo-Pacific","1950.06.16",26.9751116375864,1950
"Arctic","1950.07.16",0.773986592640001,1950
"Central Indo-Pacific","1950.07.16",27.2626816472899,1950
"Eastern Indo-Pacific","1950.07.16",26.2606795298512,1950
"Southern Ocean","1950.07.16",-0.258608963709593,1950
"Temperate Australasia","1950.07.16",15.3196462468204,1950
"Temperate Northern Atlantic","1950.07.16",19.2726535632358,1950
"Temperate Northern Pacific","1950.07.16",14.4317080448175,1950
"Temperate South America","1950.07.16",11.8734748748148,1950
"Temperate Southern Africa","1950.07.16",16.5284091300771,1950
"Tropical Atlantic","1950.07.16",26.4869017647308,1950
"Tropical Eastern Pacific","1950.07.16",25.9454266163691,1950
"Western Indo-Pacific","1950.07.16",26.4497001347718,1950
